#,Titel,Artiest,Jaar
1,"You're The First, The Last, My Everything",Barry White,1974
2,True Colors,Cyndi Lauper,1986
3,Paradise By the Dashboard Light,Meat Loaf,1977
4,Kom van dat dak af,Peter Koelewijn en Zijn Rockets,1960
5,Sexy Als Ik Dans,Nielson,2013
6,Hangover,"Taio Cruz, Flo Rida",2011
7,One More Time,Daft Punk,2000
8,Volare (Nel Blu di Pinto di Blu),Gipsy Kings,1989
9,Lambada,Kaoma,1989
10,No Woman No Cry,Bob Marley & The Wailers,1975
11,Piece of My Heart,Erma Franklin,1967
12,Sweet Child O' Mine,Guns N' Roses,1987
13,Sweet Dreams (Are Made of This),"Eurythmics, Annie Lennox, Dave Stewart",1983
14,1 Nacht Alleen,Doe Maar,1982
15,Nothing Compares 2 U,Sinéad O'Connor,1990
16,Crazy In Love (feat. JAY-Z),"Beyoncé, JAŸ-Z",2003
17,Super Freak,Rick James,1981
18,Mag Het Licht Uit,De Dijk,1986
19,Cheap Thrills,Sia,2016
20,Smoke Gets In Your Eyes,The Platters,1958
21,7 Years,Lukas Graham,2015
22,Royals,Lorde,2013
23,Marieke,Jacques Brel,1961
24,Wicked World,Laura Jansen,2010
25,No Limit,2 Unlimited,1993
26,Zombie,The Cranberries,1994
27,Scars To Your Beautiful,Alessia Cara,2016
28,Escape (The Pina Colada Song),Rupert Holmes,1979
29,Orinoco Flow,Enya,1988
30,Waterloo,ABBA,1974
31,World Hold on (Children of the Sky),"Bob Sinclar, Steve Edwards",2006
32,I Got You (I Feel Good),James Brown & The Famous Flames,1965
33,Oerend Hard,Normaal,1977
34,Piano Man,Billy Joel,1973
35,Get Back,The Beatles,1969
36,Ca plane pour moi,Plastic Bertrand,1977
37,Dancing On The Ceiling,Lionel Richie,1986
38,Born to Be Alive,Patrick Hernandez,1979
39,Als Je Wint,"Herman Brood, Henny Vrienten",1984
40,Don't Call Me Up,Mabel,2019
41,Smells Like Teen Spirit,Nirvana,1991
42,Manic Monday,The Bangles,1986
43,Knock On Wood,Amii Stewart,1979
44,Barbie Girl,Aqua,1997
45,These Boots Are Made For Walkin',Nancy Sinatra,1966
46,Dilemma (feat. Kelly Rowland),"Nelly, Kelly Rowland",2002
47,In the Summertime,Mungo Jerry,1970
48,Più bella cosa,Eros Ramazzotti,1996
49,Anne,Herman van Veen,1975
50,In Da Club,50 Cent,2003
51,Guajira Guantanamera,Joseito Fernández,1929
52,Shallow,"Lady Gaga, Bradley Cooper",2018
53,Valerie (feat. Amy Winehouse),"Mark Ronson, Amy Winehouse, Baby J",2007
54,Have You Ever Seen The Rain,Creedence Clearwater Revival,1971
55,You Can't Hurry Love,The Supremes,1966
56,How You Remind Me,Nickelback,2001
57,All That She Wants,Ace of Base,1992
58,Price Tag,"Jessie J, B.o.B",2011
59,Self Esteem,The Offspring,1994
60,Euphoria,Loreen,2012
61,Atlantis,Donovan,1968
62,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,1965
63,More Than a Feeling,Boston,1976
64,"December, 1963 (Oh What a Night!)",The Four Seasons,1975
65,I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",2012
66,This Is The Life,Amy Macdonald,2007
67,Tubthumping,Chumbawamba,1997
68,Buffalo Stance,Neneh Cherry,1988
69,15 Miljoen Mensen,Fluitsma & van Tijn,1996
70,Easy,Commodores,1977
71,So Incredible,Ilse DeLange,2005
72,Poker Face,Lady Gaga,2008
73,Disco Inferno,The Trammps,1976
74,La Bamba,Ritchie Valens,1958
75,Don't You Want Me,The Human League,1981
76,"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,1908
77,Thunder,Imagine Dragons,2017
78,Right Here Waiting,Richard Marx,1989
79,When I Need You,Leo Sayer,1977
80,Blue Bayou,Linda Ronstadt,1977
81,"Sugar, Sugar",The Archies,1969
82,Murder On The Dancefloor,Sophie Ellis-Bextor,2001
83,In the Mood,Glenn Miller,1939
84,Ain't Nobody,"Rufus, Chaka Khan",1983
85,Lean On,"Major Lazer, DJ Snake, MØ",2015
86,Hey Ya!,Outkast,2003
87,The Rhythm of the Night,Corona,1993
88,Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",2012
89,Alive,Pearl Jam,1991
90,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1954
91,Even Aan Mijn Moeder Vragen,Bloem,1987
92,Alles Kan Een Mens Gelukkig Maken,Rene Froger,1990
93,Annabel,Hans De Booij,1982
94,Window Of My Eyes,Cuby & The Blizzards,1969
95,Gimme Hope Jo'Anna,Eddy Grant,1988
96,Porcelain,Moby,1999
97,Papa,Stef Bos,1990
98,Happy,Pharrell Williams,2013
99,Rainbow In The Sky,Paul Elstak,1995
100,Green Green Grass Of Home,Tom Jones,1966
101,Gold Digger,"Kanye West, Jamie Foxx",2005
102,Maneater,Daryl Hall & John Oates,1982
103,It Wasn't Me,"Shaggy, Rik Rok",2000
104,Fast Car,Tracy Chapman,1988
105,"See You Later, Alligator",Bill Haley & His Comets,1956
106,Don't Leave Me This Way,Thelma Houston,1976
107,Love Is All Around,Wet Wet Wet,1994
108,Sweet Home Alabama,Lynyrd Skynyrd,1974
109,Never Ending Story,Limahl,1984
110,Day-O (The Banana Boat Song),Harry Belafonte,1956
111,Surfin' U.S.A.,The Beach Boys,1963
112,Break My Heart,Dua Lipa,2020
